headline_id,headline,category,word_count,has_number
2779,Parliament debates controversial trade bill,Politics,5,False
8046,Underdog Wolves stuns Galaxy in upset victory,Sports,7,False
9,device battery life extended by 200 percent,Technology,7,True
5756,Senate votes on economic reform bill,Politics,6,False
8875,Government unveils 100 billion energy plan,Politics,6,True
1835,Scarlett Johansson responds to criticism over Cascade role,Entertainment,8,False
4596,Succession cliffhanger leaves fans demanding answers,Entertainment,6,False
3378,Wright dedicates victory to hometown fans,Sports,6,False
2240,Billie Eilish collaborates with Billie Eilish on new single,Entertainment,9,False
5002,President Wilson announces new agriculture initiative,Politics,6,False
4443,AI powered device transforms logistics sector,Technology,6,False
3283,Experts predict blockchain will revolutionize automotive,Technology,6,False
7235,Cybersecurity breach affects 25 million smartphone accounts,Technology,7,True
1490,Bulls trades Garcia to United in surprise move,Sports,8,False
7335,Stranger Things introduces new characters in seventh season,Entertainment,8,False
5946,Westworld tackles controversial performances in new episode,Entertainment,7,False
504,Experts predict quantum computing will revolutionize entertainment,Technology,7,False
2250,Animated New Dawn appeals to audiences of all ages,Entertainment,9,False
826,Casting announcement for Midnight Sun sparks fan debate,Entertainment,8,False
5385,New transportation law passes despite opposition,Politics,6,False
6758,Behind the scenes documentary reveals Dark Waters secrets,Entertainment,8,False
1816,New climate law passes despite opposition,Politics,6,False
6938,Beta testers report positive feedback on tablet,Technology,7,False
5638,Mayor Thompson proposes transportation changes,Politics,5,False
2538,Canada strengthens ties with Brazil,Politics,5,False
1133,robotics integration challenges delay headset rollout,Technology,6,False
6206,Patent dispute between SystemPro and SoftBridge intensifies,Technology,7,False
2339,Taylor breaks record with 250 points performance,Sports,7,True
6257,All-star Allen selected for Super Bowl squad,Sports,7,False
3996,Taylor dedicates victory to hometown fans,Sports,6,False
1448,Virtual reality experience brings Horizon to life,Entertainment,7,False
691,Critics praise Starlight for groundbreaking storytelling,Entertainment,6,False
3749,International distribution secured for Horizon,Entertainment,5,False
7996,Chile withdraws from cooperation deal treaty,Politics,6,False
8775,augmented reality chips face global supply shortage,Technology,7,False
8517,Green launches campaign for infrastructure reform,Politics,6,False
1663,Midnight Sun tops box office with 50 million opening,Entertainment,9,True
1608,quantum computing integration challenges delay tablet rollout,Technology,7,False
8838,Beta testers report positive feedback on server,Technology,7,False
9217,Billie Eilish concert sells out in 150 minutes,Entertainment,8,True
9606,Scott breaks tennis scoring record,Sports,5,False
6259,Austria takes gold in baseball at championships,Sports,7,False
1085,Hackers exploit console flaw affecting 500 devices,Technology,7,True
3753,Cascade visual effects team pushes boundaries of cinematography,Entertainment,8,False
7681,Drake concert sells out in 15 minutes,Entertainment,7,True
7095,Jackson withdraws from Masters due to injury,Sports,7,False
4923,Edge computing transforms manufacturing with blockchain,Technology,6,False
6497,Lopez withdraws from Finals due to injury,Sports,7,False
9413,Senate votes on tax reform bill,Politics,6,False
7535,Chancellor Brown faces impeachment over transportation allegations,Politics,7,False
1598,Quantum robotics achieves new milestone,Technology,5,False
8713,The Office production moves to new Apple TV home,Entertainment,9,False
9556,Playoff picture becomes clearer after Titans victory,Sports,7,False
6,Developers create innovative logistics using cloud computing,Technology,7,False
8543,Jennifer Lawrence launches production company for drama projects,Entertainment,8,False
2041,Lopez named all-star player of the month,Sports,7,False
7013,CloudNet invests 250 million in virtual reality research,Technology,8,True
2322,Korea and Chile reach compromise on energy,Politics,7,False
7490,Echo remake updates classic with modern storytelling,Entertainment,7,False
3561,Post Malone concert sells out in 15 minutes,Entertainment,8,True
6228,Sweden faces criticism over trade policy,Politics,6,False
762,Titans secures playoff spot with win over Phoenix,Sports,8,False
1884,cloud computing standards body approves new specifications,Technology,7,False
8655,basketball season kicks off with City vs Rangers,Sports,8,False
4377,Succession merchandise sales exceed 15 million,Entertainment,6,True
7742,Ed Sheeran charity concert raises funds for visual effects,Entertainment,9,False
2199,Jackson scores 200 points in championship game,Sports,7,True
2899,PM Thompson condemns recent education incidents,Politics,6,False
3654,Political crisis deepens as Alliance loses support,Politics,7,False
6946,Mad Men finale draws 20 million viewers,Entertainment,7,True
177,Rangers rebuilding begins after close season,Sports,6,False
3516,DataSystems discontinues unpopular console line,Technology,5,False
1766,Titans announces signing of star player Walker,Sports,7,False
8145,Dua Lipa collaborates with Ariana Grande on new single,Entertainment,9,False
7422,Socialist launches campaign for climate change reform,Politics,7,False
4707,Post Malone collaborates with Billie Eilish on new single,Entertainment,9,False
2793,Democratic coalition faces challenges on agriculture,Politics,6,False
5942,Bipartisan group proposes education solution,Politics,5,False
4491,Taylor Swift drops surprise album featuring 2 tracks,Entertainment,8,True
84,Thunder clinches division title with dramatic win,Sports,7,False
4558,Titans dynasty continues with another Masters win,Sports,7,False
9658,Animated Starlight appeals to audiences of all ages,Entertainment,8,False
7018,Budget committee approves 75 million for security,Politics,7,True
2323,Government unveils 30 billion energy plan,Politics,6,True
8683,Cabinet reshuffle puts focus on education priorities,Politics,7,False
4964,The Wire cliffhanger leaves fans demanding answers,Entertainment,7,False
7354,Controversy surrounds Michael B Jordan comments at defensive,Entertainment,8,False
3773,Budget committee approves 500 million for economy,Politics,7,True
9595,Galaxy medical staff clears Young to play,Sports,7,False
2543,Youth movement pays off as Bulls advances,Sports,7,False
5521,Spain hosts peace talks between rival factions,Politics,7,False
3200,The Mandalorian finale draws 10 million viewers,Entertainment,7,True
1597,Alliance launches campaign for justice reform,Politics,6,False
8734,Young dedicates victory to hometown fans,Sports,6,False
2087,smartwatch sales reach 250 million in first quarter,Technology,8,True
6483,Eagles dynasty continues with another Open win,Sports,7,False
7811,Prime Minister Johnson announces bid for Lombardy governorship,Politics,8,False
3936,machine learning chips face global supply shortage,Technology,7,False
8024,augmented reality chips face global supply shortage,Technology,7,False
449,Budget committee approves 75 million for climate change,Politics,8,True
6011,Westworld creator discusses plans for final season,Entertainment,7,False
9751,Open favorites City stumble against Knights,Sports,6,False
6178,Starlight sequel announced with Oscar Isaac returning,Entertainment,7,False
9328,Overtime thriller sees Jets edge past Warriors,Sports,7,False
2582,Lopez breaks rugby scoring record,Sports,5,False
7831,Titans clinches division title with dramatic win,Sports,7,False
8974,President Kim inaugurated with promise to fix housing,Politics,8,False
1433,Timothee Chalamet responds to criticism over Echo role,Entertainment,8,False
5392,President Smith meets with Chancellor Rodriguez to discuss education,Politics,9,False
4180,Mayor Garcia proposes tax changes,Politics,5,False
2882,International summit addresses global education concerns,Politics,6,False
